DEPARTAMENTO,MES,Numero Eventos Reportados,SISTEMAS AFECTADOS,SEXO FEMENINO,SEXO MASCULINO,SEXO SIN ESPECIFICAR,CASOS NO SERIOS,CASOS SERIOS,EVENTO CLASIFICADO COMO FALLO TERAPEUTICO (FT),EVENTO CLASIFICADO COMO REACCION ADVERSA A MEDICAMENTO (RAM),EVENTO CLASIFICADO COMO PROBLEMA DE CALIDAD (PC),EVENTO CLASIFICADO COMO ERROR DE MEDICACIÓN (EM),EVENTO CLASIFICADO COMO EVENTO SUPUESTAMENTE ATRIBUIBLE A LA VACUNACIÓN (ESAVI)
BOYACÁ,FEBRERO DE 2021,52,TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA REPRODUCCION MUJERESTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DE LOS LEUCOCITOS Y DE LA VSETRASTORNOS DEL COLAGENOTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,28,24,0,38,14,6,42,0,6,0
CALDAS,FEBRERO DE 2021,143,TRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA VISIONTRASTORNOS DE OTROS SENTIDOS ESPECIALESTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS MIO ENDO PERICARDICOS Y VALVULARESTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,91,52,0,124,19,7,125,1,10,0
CAQUETÁ,FEBRERO DE 2021,25,TRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,11,14,0,11,14,0,25,0,0,0
CASANARE,FEBRERO DE 2021,33,TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS PSIQUIATRICOSVOCABLOS SECUNDARIOS EVENTOS,16,17,0,28,5,0,28,0,4,1
CAUCA,FEBRERO DE 2021,92,TRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA REPRODUCCION MUJERESTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS LEUCOCITOS Y DE LA VSETRASTORNOS DE OTROS SENTIDOS ESPECIALESTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS ENDOCRINOSTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,56,36,0,68,24,0,87,1,3,2
CESAR,FEBRERO DE 2021,91,TRASTORNOS AUDITIVOS Y VESTIBULARESTRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA VISIONTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DE LOS LEUCOCITOS Y DE LA VSETRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS MIO ENDO PERICARDICOS Y VALVULARESTRASTORNOS PSIQUIATRICOSVOCABLOS SECUNDARIOS EVENTOS,53,38,0,73,18,2,86,1,2,0
CHOCÓ,FEBRERO DE 2021,4,TRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DEL COLAGENOTRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS GENERALES DE TODO EL ORGANISMOVOCABLOS SECUNDARIOS EVENTOS,2,2,0,3,1,0,4,0,0,0
CÓRDOBA,FEBRERO DE 2021,106,NEOPLASMASTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA REPRODUCCION MUJERESTRASTORNOS DE LA VISIONTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DE OTROS SENTIDOS ESPECIALESTRASTORNOS DEL COLAGENOTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS PSIQUIATRICOSVOCABLOS SECUNDARIOS EVENTOS,70,36,0,92,14,1,89,0,9,8
CUNDINAMARCA,FEBRERO DE 2021,195,NEOPLASMASTRASTORNOS AUDITIVOS Y VESTIBULARESTRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA VISIONTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DE OTROS SENTIDOS ESPECIALESTRASTORNOS DEL COLAGENOTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS ENDOCRINOSTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS MIO ENDO PERICARDICOS Y VALVULARESTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,104,91,0,166,29,6,169,0,21,0
GUAVIARE,FEBRERO DE 2021,18,TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS ENDOCRINOSTRASTORNOS GENERALES DE TODO EL ORGANISMOVOCABLOS SECUNDARIOS EVENTOS,14,4,0,17,1,0,18,0,0,0
HUILA,FEBRERO DE 2021,112,TRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA VISIONTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DE OTROS SENTIDOS ESPECIALESTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS ENDOCRINOSTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,59,53,0,81,31,9,89,5,7,2
LA GUAJIRA,FEBRERO DE 2021,15,TRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS GENERALES DE TODO EL ORGANISMOVOCABLOS SECUNDARIOS EVENTOS,6,9,0,12,3,1,13,0,1,0
MAGDALENA,FEBRERO DE 2021,55,TRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS ENDOCRINOSTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,26,28,1,44,11,3,46,0,6,0
META,FEBRERO DE 2021,67,TRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS LEUCOCITOS Y DE LA VSETRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS MIO ENDO PERICARDICOS Y VALVULARESTRASTORNOS PSIQUIATRICOSVOCABLOS SECUNDARIOS EVENTOS,38,29,0,53,14,3,47,0,16,2
NARIÑO,FEBRERO DE 2021,126,NEOPLASMASTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA VISIONTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DE LOS LEUCOCITOS Y DE LA VSETRASTORNOS DEL COLAGENOTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS ENDOCRINOSTRASTORNOS FETALESTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,73,52,1,103,23,31,95,2,31,0
NORTE DE SANTANDER,FEBRERO DE 2021,92,NEOPLASMASTRASTORNOS AUDITIVOS Y VESTIBULARESTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA REPRODUCCION MUJERESTRASTORNOS DE LOS LEUCOCITOS Y DE LA VSETRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,53,39,0,80,12,2,64,0,27,0
PUTUMAYO,FEBRERO DE 2021,4,TRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS GENERALES DE TODO EL ORGANISMOVOCABLOS SECUNDARIOS EVENTOS,1,3,0,4,0,0,2,1,1,0
QUINDIO,FEBRERO DE 2021,93,TRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA VISIONTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS LEUCOCITOS Y DE LA VSETRASTORNOS DE OTROS SENTIDOS ESPECIALESTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS ENDOCRINOSTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,51,42,0,58,35,5,82,1,8,0
RISARALDA,FEBRERO DE 2021,390,TRASTORNOS AUDITIVOS Y VESTIBULARESTRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA REPRODUCCION MUJERESTRASTORNOS DE LA VISIONTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DE LOS LEUCOCITOS Y DE LA VSETRASTORNOS DE OTROS SENTIDOS ESPECIALESTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS ENDOCRINOSTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS MIO ENDO PERICARDICOS Y VALVULARESTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,236,152,2,361,29,10,373,3,5,0
SANTANDER,FEBRERO DE 2021,214,NEOPLASMASTRASTORNOS AUDITIVOS Y VESTIBULARESTRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA REPRODUCCION MUJERESTRASTORNOS DE LA REPRODUCCION VARONESTRASTORNOS DE LA VISIONTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DE OTROS SENTIDOS ESPECIALESTRASTORNOS DEL COLAGENOTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS ENDOCRINOSTRASTORNOS FETALESTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS MIO ENDO PERICARDICOS Y VALVULARESTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,125,89,0,139,75,5,195,4,13,0
SIN INFORMACIÓN,FEBRERO DE 2021,2418,NEOPLASMASTRASTORNOS AUDITIVOS Y VESTIBULARESTRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA REPRODUCCION MUJERESTRASTORNOS DE LA REPRODUCCION VARONESTRASTORNOS DE LA VISIONTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DE LOS LEUCOCITOS Y DE LA VSETRASTORNOS DE OTROS SENTIDOS ESPECIALESTRASTORNOS DEL COLAGENOTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS ENDOCRINOSTRASTORNOS FETALESTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS MIO ENDO PERICARDICOS Y VALVULARESTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOSVOCABLOS SECUNDARIOS EVENTOS,1512,883,23,2119,380,47,1943,7,415,9
SUCRE,FEBRERO DE 2021,71,NEOPLASMASTRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA REPRODUCCION MUJERESTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,49,22,0,57,14,4,61,0,6,0
TOLIMA,FEBRERO DE 2021,101,TRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA REPRODUCCION VARONESTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,57,44,0,77,24,3,86,0,9,5
VALLE DEL CAUCA,FEBRERO DE 2021,892,NEOPLASMASTRASTORNOS AUDITIVOS Y VESTIBULARESTRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA REPRODUCCION MUJERESTRASTORNOS DE LA VISIONTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DE LOS LEUCOCITOS Y DE LA VSETRASTORNOS DE OTROS SENTIDOS ESPECIALESTRASTORNOS DEL COLAGENOTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS ENDOCRINOSTRASTORNOS FETALESTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS MIO ENDO PERICARDICOS Y VALVULARESTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOSVOCABLOS SECUNDARIOS EVENTOS,564,322,6,669,223,31,804,12,78,0
AMAZONAS,MARZO DE 2021,1,TRASTORNOS GENERALES DE TODO EL ORGANISMO,1903,936,2,0,1,0,1,0,0,0
ANTIOQUIA,MARZO DE 2021,2842,NEOPLASMASNINGUNATRASTORNOS AUDITIVOS Y VESTIBULARESTRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA REPRODUCCION MUJERESTRASTORNOS DE LA VISIONTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DE LOS LEUCOCITOS Y DE LA VSETRASTORNOS DE OTROS SENTIDOS ESPECIALESTRASTORNOS DEL COLAGENOTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS ENDOCRINOSTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS MIO ENDO PERICARDICOS Y VALVULARESTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOSVOCABLOS SECUNDARIOS EVENTOS,26,15,0,2345,496,139,2561,11,138,0
ARAUCA,MARZO DE 2021,42,TRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS PSIQUIATRICOSVOCABLOS SECUNDARIOS EVENTOS,1,1,0,39,2,6,11,0,24,0
ARCHIPIÉLAGO DE SAN ANDRÉS PROVIDENCIA Y SANTA CATALINA,MARZO DE 2021,2,TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS GENERALES DE TODO EL ORGANISMO,291,258,0,0,2,0,2,0,0,0
